,symbol,Sector
1104,REF,Consumer Non-Cyclicals
1105,REFR,Non-Energy Materials
1106,REGN,Healthcare
1107,RELL,Technology
1108,RENT,Consumer Services
1109,RES,Energy
1110,RESC,Non-Energy Materials
1111,RESP,Healthcare
1112,REXI,
1113,REY,Consumer Cyclicals
1114,DFZ,Consumer Cyclicals
1115,RGEN,Healthcare
1116,RGS,Consumer Non-Cyclicals
1117,RGLD,Non-Energy Materials
1118,RGR,Industrials
1119,RHB,Healthcare
1120,RHI,Business Services
1121,QUMU,Technology
1122,ARKR,Consumer Services
1123,RMCF,Consumer Non-Cyclicals
1124,RMI,Non-Energy Materials
1125,RML,Consumer Cyclicals
1126,RTK,Energy
1127,RBN,Industrials
1128,ROCM,Healthcare
1129,ROG,Technology
1130,ROH,Non-Energy Materials
1131,ROK,Technology
1132,ROL,Business Services
1133,ROP,Industrials
1134,ROST,Consumer Non-Cyclicals
1135,ROW,Consumer Cyclicals
1136,RPM,Non-Energy Materials
1137,RSCR,Healthcare
1138,RTI,Non-Energy Materials
1139,RTN,Industrials
1140,KID,Consumer Cyclicals
1141,RYL,Finance
1142,SAFM,Consumer Non-Cyclicals
1143,SFP,Consumer Non-Cyclicals
1144,SATC,Technology
1145,T,Telecommunications
1146,NEON,
1147,SBL,Technology
1148,SBSE,Technology
1149,SBUX,Consumer Services
1150,SCG,Utilities
1151,SCHL,Consumer Services
1152,SCL,Non-Energy Materials
1153,SCLN,Healthcare
1154,SCR_A,Industrials
1155,SMG,Non-Energy Materials
1156,SCX,Industrials
1157,SEB,Consumer Non-Cyclicals
1158,SEE,Non-Energy Materials
1159,SEH,
1160,SEIC,Finance
1161,SEMI,Technology
1162,SENS,Industrials
1163,SEPR,Healthcare
1164,SFA,Technology
1165,SFD,Consumer Non-Cyclicals
1166,SFE,Technology
1167,SFY,Energy
1168,SGC,Healthcare
1169,SGP,Healthcare
1170,SHFL,Consumer Services
1171,SHLM,Non-Energy Materials
1172,ICON,Consumer Cyclicals
1173,SHRP,Consumer Cyclicals
1174,SHW,Non-Energy Materials
1175,SIAL,Healthcare
1176,SIE,Healthcare
1177,SIF,Industrials
1178,SIGM,Technology
1179,PTG,Industrials
1180,SII,Energy
1181,SIZ,Finance
1182,SJI,Utilities
1183,JOE,Finance
1184,SJW,Utilities
1185,SKY,Finance
1186,SKYW,Industrials
1187,SLI,Industrials
1188,SLB,Technology
1189,HSH,Consumer Non-Cyclicals
1190,SLR,Technology
1191,IIN,Technology
1192,AOS,Industrials
1193,SMF,Consumer Non-Cyclicals
1194,SEN,Utilities
1195,SMTC,Technology
1196,SMP,Consumer Cyclicals
1197,SMRT,Consumer Non-Cyclicals
1198,SMSC,Technology
1199,SNA,Industrials
1200,SNDS,Consumer Services
1201,PII,Consumer Cyclicals
1202,SNPS,Technology
1203,SNR,Technology
1204,SNSTA,Consumer Services
1205,SO,Utilities
1206,SONC,Consumer Services
1207,SON,Non-Energy Materials
1208,SPA,Technology
1209,SPAN,Healthcare
1210,SPAR,Industrials
1211,SPCH_B,Consumer Cyclicals
1212,SPEC,Technology
1213,CAA,Finance
1214,SPIR,Industrials
1215,SPLS,Consumer Cyclicals
1216,SPNC,Healthcare
1217,SPXC,Industrials
1218,SQA_A,Industrials
1219,SR,Business Services
1220,NVE,Utilities
1221,SRR,Consumer Cyclicals
1222,SCI,Consumer Non-Cyclicals
1223,SSP,Consumer Services
1224,SVC,Industrials
1225,STAA,Healthcare
1226,STAR,Consumer Services
1227,TSC,Consumer Non-Cyclicals
1228,STEC,
1229,STEI,Consumer Non-Cyclicals
1230,STIZ,Industrials
1231,STJ,Healthcare
1232,STR,Energy
1233,STE,Healthcare
1234,SYK,Healthcare
1235,STTX,Non-Energy Materials
1236,SUG,Energy
1237,TLRD,Consumer Cyclicals
1238,SUN,Energy
1239,JAVA,Technology
1240,SUP,Consumer Cyclicals
1241,SUPX,Technology
1242,SVM,Business Services
1243,SVT,Industrials
1244,SVU,Consumer Non-Cyclicals
1245,SWFT,Industrials
1246,SWK,Industrials
1247,SWN,Energy
1248,SWTX,Industrials
1249,SWWC,Business Services
1250,SWX,Utilities
1251,SWY,Consumer Non-Cyclicals
1252,SXI,Industrials
1253,SY,Technology
1254,NLOK,Technology
1255,SYNL,Non-Energy Materials
1256,SYY,Consumer Non-Cyclicals
1257,TNC,Industrials
1258,TARO,Healthcare
1259,TAYD,Industrials
1260,TBAC,Consumer Cyclicals
1261,TSTY,Consumer Non-Cyclicals
1262,TBL,Consumer Cyclicals
1263,TCI,Finance
1264,TCO,Finance
1265,TWIN,Industrials
1266,TDS,Telecommunications
1267,TDY,Industrials
1268,TE,Utilities
1269,TEAM,Business Services
1270,TECD,
1271,TECH,Healthcare
1272,TECU,Industrials
1273,TEK,Technology
1274,TELOZ,Finance
1275,TER,Technology
1276,TEX,Industrials
1277,TFX,Healthcare
1278,TG,Non-Energy Materials
1279,TEN,Consumer Cyclicals
1280,THO,Consumer Cyclicals
1281,TGX,Healthcare
1282,TIII,Industrials
1283,TIF,Consumer Cyclicals
1284,TIN,
1285,TJX,Consumer Non-Cyclicals
1286,TKLC,Technology
1287,TKR,Non-Energy Materials
1288,TLAB,Technology
1289,TMCI,
1290,TISI,Industrials
1291,TMO,Healthcare
1292,TMR,Energy
1293,TNB,Industrials
1294,TNM,Consumer Services
1295,PULS,Technology
1296,SEV,
1297,TOD,Industrials
1298,RUM,Consumer Non-Cyclicals
1299,TOF,Consumer Non-Cyclicals
1300,TOL,Finance
1301,TOM,Consumer Cyclicals
1302,TOPP,Consumer Cyclicals
1303,TPP,Energy
1304,TR,Consumer Non-Cyclicals
1305,TRA,Non-Energy Materials
1306,TRB,Consumer Services
1307,TRC,Finance
1308,ZAZA,Energy
1309,TRID,Technology
1310,TRMB,Technology
1311,TRMM,Business Services
1312,TRN,Industrials
1313,TRNS,Industrials
1314,TRR,Industrials
1315,TRT,Technology
1316,TSCC,Technology
1317,CTG,Technology
1318,ANDV,Energy
1319,TSRI,Business Services
1320,TSS,Finance
1321,TTC,Industrials
1322,TTI,Energy
1323,TUG,Energy
1324,TUTR,Technology
1325,AHCI,Healthcare
1326,TWMC,Consumer Cyclicals
1327,TXI,
1328,TXN,Technology
1329,TXT,Industrials
1330,TXU,
1331,JCI,Technology
1332,TYL,Business Services
1333,TSN,Consumer Non-Cyclicals
1334,UAHC,Healthcare
1335,UDR,Finance
1336,UFI,Non-Energy Materials
1337,UG,Non-Energy Materials
1338,UGI,Energy
1339,UGNE,Healthcare
1340,GLRP,Energy
1341,UHS,Healthcare
1342,UIC,
1343,UIS,Technology
1344,ULBI,Industrials
1345,UMH,Finance
1346,UNF,Business Services
1347,UNH,Healthcare
1348,UNP,Industrials
1349,UNT,Energy
1350,UQM,Industrials
1351,URGI,Consumer Cyclicals
1352,URS,Industrials
1353,USAK,Industrials
1354,USEG,Energy
1355,USG,Non-Energy Materials
1356,MUX,
1357,USM,Telecommunications
1358,USPH,Healthcare
1359,UST,Consumer Non-Cyclicals
1360,ESND,
1361,UTL,Utilities
1362,UTMD,Healthcare
1363,RTX,Industrials
1364,UVV,Consumer Non-Cyclicals
1365,VAL,Non-Energy Materials
1366,VMI,Non-Energy Materials
1367,VALU,Consumer Services
1368,VAR,Healthcare
1369,RVI,Consumer Non-Cyclicals
1370,VCI,Business Services
1371,FZN,Consumer Non-Cyclicals
1372,VFC,Consumer Cyclicals
1373,VHI,Non-Energy Materials
1374,VIAC,
1375,VICR,Technology
1376,VIDE,Technology
1377,VIFL,
1378,VCON,Technology
1379,VIRC,Consumer Non-Cyclicals
1380,VITL,Healthcare
1381,SURG,Healthcare
1382,VLGE_A,Consumer Non-Cyclicals
1383,VLNC,Consumer Non-Cyclicals
1384,VLO,Energy
1385,VMC,Non-Energy Materials
1386,VNO,Finance
1387,VOLT,Business Services
1388,VOXX,Technology
1389,VPI,Energy
1390,CRVP,Consumer Non-Cyclicals
1391,VRTX,Healthcare
1392,CGNT,Healthcare
1393,VSEC,Industrials
1394,VSH,Technology
1395,VSR,Industrials
1396,ASUR,Technology
1397,VTSS,Technology
1398,IMBI,Consumer Services
1399,WBA,Consumer Non-Cyclicals
1400,TTEK,Industrials
1401,WTS,Industrials
1402,WLB,Energy
1403,WDC,Technology
1404,WDFC,Non-Energy Materials
1405,WDHD,Industrials
1406,WEC,Utilities
1407,WEL,Energy
1408,WEN,
1409,WERN,Industrials
1410,WEYS,Consumer Cyclicals
1411,WFM,Consumer Non-Cyclicals
1412,WG,Energy
1413,WGA,Technology
1414,WGL,Utilities
1415,WGNR,Technology
1416,WGO,Consumer Cyclicals
1417,WGR,Energy
1418,WHR,Consumer Cyclicals
1419,JW_A,Consumer Services
1420,WIRE,Industrials
1421,WLC,Consumer Cyclicals
1422,WLM,Non-Energy Materials
1423,WMB,Energy
1424,WMK,Consumer Non-Cyclicals
1425,WMS,Consumer Services
1426,WMSI,Industrials
1427,WMT,Consumer Non-Cyclicals
1428,WNC,Industrials
1429,WOC,Finance
1430,GHC,Consumer Services
1431,TEG,Utilities
1432,WRE,Finance
1433,WRI,Finance
1434,REIS,Finance
1435,WPP,Non-Energy Materials
1436,WSC,
1437,WSCI,Non-Energy Materials
1438,WSM,Consumer Cyclicals
1439,WSO,Industrials
1440,WST,Healthcare
1441,WSTF,Business Services
1442,WTEK,Industrials
1443,WOR,Non-Energy Materials
1444,ZRBA,Industrials
1445,WTSL,Consumer Cyclicals
1446,WTU,Finance
1447,WWW,
1448,WWY,Consumer Non-Cyclicals
1449,WY,Non-Energy Materials
1450,X,Non-Energy Materials
1451,XETA,Technology
1452,XLNX,Technology
1453,XLTC,Industrials
1454,XOMA,Healthcare
1455,XOM,Energy
1456,XRAY,Healthcare
1457,XRIT,
1458,XRX,Technology
1459,Y,Finance
1460,YRCW,Industrials
1461,FL,Consumer Cyclicals
1462,ZBRA,Technology
1463,ZEUS,Non-Energy Materials
1464,ZIGO,Technology
1465,ZILA,Healthcare
1466,ZOLL,Healthcare
1467,ZOLT,Non-Energy Materials
1468,ZOOM,Technology
1469,SPB,Consumer Non-Cyclicals
1470,CRE,Finance
1471,CREE,Technology
1472,CRY,Healthcare
1473,CHK,Energy
1474,SITC,Finance
1475,GLBL,Energy
1476,HMGN,Healthcare
1477,IEC,
1478,IFUL,Technology
1479,ELS,Finance
1480,NATH,Consumer Services
1481,RCKY,Consumer Cyclicals
1482,SMAN,Healthcare
1483,UEIC,Technology
1484,ALG,Industrials
1485,APSG,Industrials
1486,AVID,Technology
1487,CHS,Consumer Cyclicals
1488,CHDN,Consumer Services
1489,CMVT,
1490,ETH,Consumer Non-Cyclicals
1491,FLSH,Technology
1492,GYMB,Consumer Cyclicals
1493,INTU,Technology
1494,LSTR,Industrials
1495,MAGS,Technology
1496,MCHP,Technology
1497,MRGO,Consumer Non-Cyclicals
1498,DEST,Consumer Cyclicals
1499,NGT,Finance
1500,PSUN,Consumer Cyclicals
1501,RELV,Healthcare
1502,SCON,Technology
1503,SCVL,Consumer Cyclicals
1504,SGA,Consumer Services
1505,TXCO,Energy
1506,BBI,Healthcare
1507,RPRX,Healthcare
1508,ATR,Non-Energy Materials
1509,FOSL,Consumer Cyclicals
1510,GGP,Finance
1511,JBL,Technology
1512,MEAS,Industrials
1513,SFLK,Technology
1514,ORLY,Consumer Cyclicals
1515,RCL,Consumer Services
1516,SANM,Technology
1517,WIND,Technology
1518,AINN,Technology
1519,ANIK,Healthcare
1520,CATS,Technology
1521,CWEI,Energy
1522,FCSE,Technology
1523,HR,Finance
1524,IPX,Finance
1525,NTIC,Non-Energy Materials
1526,RIG,Energy
1527,STN,Consumer Services
1528,SKT,Finance
1529,TWI,Consumer Cyclicals
1530,XTO,Energy
1531,BBSI,Business Services
1532,BDN,Finance
1533,BELM,Technology
1534,BYBI,Consumer Services
1535,DLP,Consumer Non-Cyclicals
1536,LNX,Consumer Cyclicals
1537,EGLS,Technology
1538,FLIR,Industrials
1539,ICOC,Non-Energy Materials
1540,LBY,Consumer Non-Cyclicals
1541,LINK,Technology
1542,NSYS,Technology
1543,PZZA,Consumer Services
1544,SHLO,Consumer Cyclicals
1545,BED,Finance
1546,CPT,Finance
1547,CRA,Healthcare
1548,DLK,Technology
1549,IRIS,Healthcare
1550,KTEC,Industrials
1551,SYGR,Business Services
1552,STRL,
1553,PETM,Consumer Cyclicals
1554,PPS,Finance
1555,RURL,Healthcare
1556,STS,
1557,ACTL,Technology
1558,ATRM,Finance
1559,BFS,Finance
1560,BWA,Consumer Cyclicals
1561,CACS,Technology
1562,CTU,Healthcare
1563,DMED,Healthcare
1564,EQR,Finance
1565,FLL,Consumer Services
1566,INOD,Technology
1567,LNY,Consumer Services
1568,MANU,Industrials
1569,MCRI,Consumer Services
1570,MATN,Healthcare
1571,PFGC,Consumer Non-Cyclicals
1572,RAVE,Consumer Services
1573,REX,Consumer Cyclicals
1574,RWY,Consumer Cyclicals
1575,SPSS,Technology
1576,TCT,Finance
1577,TGIS,
1578,WLV,Non-Energy Materials
1579,AAON,Industrials
1580,ASYT,Technology
1581,BKS,Consumer Cyclicals
1582,CACH,Consumer Cyclicals
1583,CAL,Industrials
1584,FTEK,Industrials
1585,GMCR,Consumer Non-Cyclicals
1586,GSS,Non-Energy Materials
1587,SIG,Consumer Cyclicals
1588,MNC,Consumer Cyclicals
1589,OKS,Energy
1590,NVH,Consumer Cyclicals
1591,TLF,Consumer Cyclicals
1592,UTEK,Technology
1593,ALDN,Technology
1594,ATVI,Technology
1595,BYD,Consumer Services
1596,CBL,Finance
1597,CMOS,Technology
1598,DECK,Consumer Cyclicals
1599,IT,Business Services
1600,HST,Finance
1601,ISV,Healthcare
1602,CALC,Finance
1603,LNET,Consumer Services
1604,LXP,Finance
1605,MERQE,Technology
1606,OMG,
1607,ORCI,Business Services
1608,PARS,Healthcare
1609,REG,Finance
1610,SODI,
1611,TUC,Consumer Non-Cyclicals
1612,ZLC,Consumer Cyclicals
1613,AEC,Finance
1614,ASCA,Consumer Services
1615,ESYS,Technology
1616,BRLI,Healthcare
1617,CECX,
1618,EGAS,Utilities
1619,FNGC,
1620,HHS,Business Services
1621,ITRI,Utilities
1622,MATK,Healthcare
1623,MHO,Finance
1624,PGIC,Consumer Services
1625,NFX,Energy
1626,PTEN,Energy
1627,QFAB,Non-Energy Materials
1628,ROCK,Non-Energy Materials
1629,RUN,Industrials
1630,SCHN,Non-Energy Materials
1631,SYMM,Technology
1632,TLB,Consumer Cyclicals
1633,WEN,Consumer Services
1634,UFPI,Non-Energy Materials
1635,URBN,
1636,WMAR,Consumer Cyclicals
1637,GTW,Technology
1638,HGSI,Healthcare
1639,ARWR,Non-Energy Materials
1640,NADX,Healthcare
1641,PARD,Healthcare
1642,PLNR,
1643,CMCT,Finance
1644,PRKR,Technology
1645,PSTA,
1646,SHAW,
1647,SHOO,Consumer Cyclicals
1648,SPG,Finance
1649,SUI,Finance
1650,SUMX,Non-Energy Materials
1651,TQNT,Technology
1652,UFPT,Non-Energy Materials
1653,VIGN,
1654,CGI,Industrials
1655,STCN,Technology
1656,CYT,Non-Energy Materials
1657,EMN,Non-Energy Materials
1658,GRT,Finance
1659,MAA,Finance
1660,HAIN,Consumer Non-Cyclicals
1661,PLT,Technology
1662,PYX,Consumer Non-Cyclicals
1663,TFCO,Non-Energy Materials
1664,USLM,Non-Energy Materials
1665,AML,Finance
1666,BZH,Finance
1667,DAKT,Technology
1668,DSPG,Technology
1669,ARTX,Industrials
1670,EMAK,Business Services
1671,ELX,Technology
1672,EMMS,Consumer Services
1673,ENN,Finance
1674,FMST,Consumer Cyclicals
1675,HRSH,Industrials
1676,MAPS,Technology
1677,MINI,Finance
1678,MLM,Non-Energy Materials
1679,NTII,Healthcare
1680,QLGC,Technology
1681,RGCO,Utilities
1682,SGMA,Technology
1683,SILC,Technology
1684,SNIC,Technology
1685,TSCO,Consumer Cyclicals
1686,AKS,Non-Energy Materials
1687,ALB,Non-Energy Materials
1688,BCRX,Healthcare
1689,BHC,Healthcare
1690,BSMD,Healthcare
1691,CPRT,Consumer Cyclicals
1692,FLEX,Technology
1693,HSR,Industrials
1694,MAC,Finance
1695,NMRX,Telecommunications
1696,NNBR,Non-Energy Materials
1697,NWIR,Healthcare
1698,GPIC,Consumer Services
1699,RYN,Non-Energy Materials
1700,SCSC,Technology
1701,SHU,Finance
1702,RVLT,Industrials
1703,ADC,Finance
1704,AEO,Consumer Cyclicals
1705,ASHW,Consumer Cyclicals
1706,BOOT,Consumer Cyclicals
1707,BRK_B,
1708,CEI,Finance
1709,EXP,Non-Energy Materials
1710,EDIN,
1711,GDI,Industrials
1712,MITY,Consumer Non-Cyclicals
1713,MLS,Finance
1714,MTIC,Technology
1715,RAH,Consumer Non-Cyclicals
1716,RARE,Consumer Services
1717,SPOR,Consumer Cyclicals
1718,OVEN,Consumer Cyclicals
1719,VVUS,Healthcare
1720,AIRT,Industrials
1721,ARTL,Healthcare
1722,BTH,Consumer Cyclicals
1723,CPD,Healthcare
1724,FRNT,Industrials
1725,IBIS,Technology
1726,JOSB,Consumer Cyclicals
1727,MERX,Technology
1728,NFLD,Healthcare
1729,NPSP,Healthcare
1730,PENN,Consumer Services
1731,PSSI,Healthcare
1732,RADA,Consumer Cyclicals
1733,SSD,Non-Energy Materials
1734,ARMP,Healthcare
1735,WXH,Finance
1736,BIOL,Healthcare
1737,CNTY,Consumer Services
1738,CGX,Business Services
1739,ESS,Finance
1740,FGP,Energy
1741,FR,Finance
1742,HIW,Finance
1743,IMAX,Technology
1744,KCP,Consumer Cyclicals
1745,LJPC,Healthcare
1746,LPT,Finance
1747,PNTR,
1748,PSAI,Healthcare
1749,TRPS,Healthcare
1750,AIV,Finance
1751,FCH,Finance
1752,GBX,Industrials
1753,HME,Finance
1754,EEE,Energy
1755,MATW,Consumer Non-Cyclicals
1756,RFMI,Technology
1757,GEO,Business Services
1758,ADTN,Technology
1759,ASVI,Industrials
1760,BBOX,Technology
1761,CLI,Finance
1762,EFOI,Industrials
1763,UNMG,Consumer Non-Cyclicals
1764,WAVX,Technology
1765,ACS,Technology
1766,ARIA,Healthcare
1767,IPA,Healthcare
1768,SIRI,Consumer Services
1769,DAR,Consumer Non-Cyclicals
1770,VIEW,Technology
1771,FTHR,Industrials
1772,MTLG,Technology
1773,MTSN,Technology
1774,KPA,Finance
1775,RS,Non-Energy Materials
1776,TESS,Technology
1777,WTT,Technology
1778,WVVI,Consumer Non-Cyclicals
1779,AZPN,Technology
1780,BNSO,Consumer Non-Cyclicals
1781,CPE,Energy
1782,CVTI,Industrials
1783,ALCS,Consumer Non-Cyclicals
1784,EPIC,Technology
1785,MLIN,Technology
1786,O,Finance
1787,SSYS,Industrials
1788,XPRSA,Industrials
1789,UHAL,Consumer Cyclicals
1790,COHT,Industrials
1791,EXX_A,Industrials
1792,HDSN,Industrials
1793,FIT,
1794,CDOR,Finance
1795,LGND,
1796,TFCF_A,
1797,ION,Consumer Services
1798,ROYL,Energy
1799,TBUS,Industrials
1800,TCAM,Industrials
1801,TSY,Finance
1802,VECO,Technology
1803,YBTVA,Consumer Services
1804,APLX,Technology
1805,ARLC,Technology
1806,APEX,Consumer Cyclicals
1807,CYD,Consumer Cyclicals
1808,GDT,Healthcare
1809,MCRL,Technology
1810,MIND,Industrials
1811,MCK,Healthcare
1812,MSN,Technology
1813,SWC,Non-Energy Materials
1814,STRT,Consumer Cyclicals
1815,TLL,Telecommunications
1816,CPHC,Consumer Services
1817,USAP,Non-Energy Materials
1818,DYX,Healthcare
1819,NSIT,Technology
1820,SGK,Business Services
1821,BRKS,Technology
1822,CGM,Non-Energy Materials
1823,CSLR,Consumer Cyclicals
1824,ISSI,Technology
1825,SMTL,Technology
1826,THQI,Technology
1827,TRK,Consumer Services
1828,ACIW,Finance
1829,DLTR,Consumer Non-Cyclicals
1830,GFF,Non-Energy Materials
1831,ENVE,Telecommunications
1832,LMT,Industrials
1833,ERI,
1834,NATI,Technology
1835,ANAD,Technology
1836,APU,Energy
1837,FNLY,Consumer Cyclicals
1838,HAUP,Technology
1839,PCMI,Consumer Cyclicals
1840,MDCA,Business Services
1841,PPTV,Industrials
1842,TAIT,Technology
1843,BGP,Consumer Cyclicals
1844,DRI,Consumer Services
1845,HDNG,Industrials
1846,HLIT,Technology
1847,ISNS,Industrials
1848,LH,Healthcare
1849,RA,Finance
1850,DDD,Industrials
1851,AFG,Finance
1852,CWCO,Business Services
1853,DAB,Consumer Services
1854,DISH,Telecommunications
1855,DRTE,Healthcare
1856,FEIC,Technology
1857,ININ,Technology
1858,MEDC,Healthcare
1859,RMD,Healthcare
1860,SBGI,Consumer Services
1861,SCKT,Technology
1862,SERO,Healthcare
1863,SWW,Business Services
1864,TXCC,Technology
1865,WAB,Industrials
1866,WPEC,Industrials
1867,AHG,Healthcare
1868,ATEA,Technology
1869,CAM,Energy
1870,DSWL,
1871,FCX,Non-Energy Materials
1872,GVP,Utilities
1873,MAIN,Consumer Services
1874,PHHM,Finance
1875,WSTG,Consumer Cyclicals
1876,TAGS,Consumer Cyclicals
1877,TK,Energy
1878,AERG,Industrials
1879,SUNE,Technology
1880,AMIE,Business Services
1881,AVX,Technology
1882,CBUK,Consumer Cyclicals
1883,ADMP,Healthcare
1884,DDSI,
1885,GDP,Energy
1886,BREW,Consumer Non-Cyclicals
1887,SVC,Finance
1888,OO,Consumer Cyclicals
1889,KFRC,Business Services
1890,CNU,Healthcare
1891,AXE,Technology
1892,CKFR,Technology
1893,CLB,
1894,MEH,Industrials
1895,MD,Healthcare
1896,SENE_A,Consumer Non-Cyclicals
1897,SMSI,Technology
1898,TRCI,Industrials
1899,ADEX,Technology
1900,APAC,Business Services
1901,DO,Energy
1902,ESST,Technology
1903,GMST,Consumer Services
1904,SVN,Consumer Services
1905,LCRY,Technology
1906,MRX,Healthcare
1907,MONM,Finance
1908,MVCO,Industrials
1909,MYGN,Healthcare
1910,CPC,Finance
1911,POOL,Consumer Cyclicals
1912,RONC,Industrials
1913,RSYS,Technology
1914,ACHV,Healthcare
1915,RNVA,Technology
1916,PLI,Consumer Cyclicals
1917,VTEK,Technology
1918,WLDA,Industrials
1919,WLT,Non-Energy Materials
1920,ADAM,Technology
1921,ADVS,Finance
1922,AEIS,Technology
1923,BKI,
1924,CCF,Non-Energy Materials
1925,CDV,Industrials
1926,CFCI,Non-Energy Materials
1927,DST,Finance
1928,EL,Consumer Non-Cyclicals
1929,ESC,Healthcare
1930,FCFC,Finance
1931,HSIC,Healthcare
1932,IDXC,Healthcare
1933,IVAC,Technology
1934,LXK,Technology
1935,MDWV,Healthcare
1936,NTAP,Technology
1937,NWPX,Non-Energy Materials
1938,PHTN,Technology
1939,PIXR,Consumer Services
1940,PRXL,Healthcare
1941,SCUR,Technology
1942,SNDK,Technology
1943,SSTI,Technology
1944,WAT,Healthcare
1945,ADEP,Technology
1946,AXLE,Non-Energy Materials
1947,BDR,Technology
1948,CFS,Business Services
1949,CRNS,Finance
1950,CTXS,Technology
1951,EME,Industrials
1952,ERGO,Healthcare
1953,ITT,
1954,KNSY,Healthcare
1955,LTRE,Consumer Non-Cyclicals
1956,MDCC,Healthcare
1957,IDWK,Technology
1958,NICH,Consumer Cyclicals
1959,NVAX,Healthcare
1960,POCC,Energy
1961,SPN,Energy
1962,SGU,Energy
1963,ASTC,Industrials
1964,SWM,Consumer Non-Cyclicals
1965,TLGD,Technology
1966,TARR,Finance
1967,WSTL,Technology
1968,XRSC,Technology
1969,ZRAN,Technology
1970,BNT,Healthcare
1971,SPRI,Consumer Cyclicals
1972,GLB,Finance
1973,VXRT,Healthcare
1974,SCCO,Non-Energy Materials
1975,PPDI,Healthcare
1976,PTIX,Technology
1977,STKR,Industrials
1978,TTNP,Healthcare
1979,UCIA,
1980,ALXN,Healthcare
1981,ANDE,Consumer Non-Cyclicals
1982,ARTC,Healthcare
1983,CMCO,Industrials
1984,CNCT,Healthcare
1985,CPTS,Healthcare
1986,CSGS,Telecommunications
1987,LCGI,Consumer Non-Cyclicals
1988,CYTR,Healthcare
1989,DGIT,Consumer Services
1990,EIX,Utilities
1991,GEF,Non-Energy Materials
1992,GNSM,Industrials
1993,IRM,Business Services
1994,IRIX,Healthcare
1995,LNDC,
1996,MOSS,Consumer Cyclicals
1997,NTEC,Healthcare
1998,RCCC,Telecommunications
1999,RCI,Healthcare
2000,REV,Consumer Non-Cyclicals
2001,SPH,Energy
2002,TBWC,Industrials
2003,CALL,Technology
2004,BXG,Consumer Services
2005,CENX,Non-Energy Materials
2006,CIMT,Technology
2007,CYTC,Healthcare
2008,EAR,Healthcare
2009,ELAM,Non-Energy Materials
2010,FBN,Consumer Cyclicals
2011,GBR,Healthcare
2012,HUBG,Industrials
2013,JDAS,Consumer Cyclicals
2014,ELNK,Telecommunications
2015,PRGX,Business Services
2016,PGI,Technology
2017,SEGU,Technology
2018,ASTX,Healthcare
2019,AFFI,Other
2020,ANST,Technology
2021,XWG,Technology
2022,CASA,Consumer Services
2023,CPWM,Consumer Cyclicals
2024,CRR,Non-Energy Materials
2025,DCAI,Healthcare
2026,DRS,Industrials
2027,FLDR,Industrials
2028,ITWO,Technology
2029,JCTC_F,Consumer Cyclicals
2030,KVHI,Technology
2031,STRM,Healthcare
2032,LU,Technology
2033,MOV,Consumer Cyclicals
2034,ALJJ,
2035,OLED,Technology
2036,PLCM,Technology
2037,PRRR,Industrials
2038,QMRKC,
2039,RCMT,Technology
2040,SAPE,Technology
2041,SHLL,Consumer Services
2042,SIPX,Technology
2043,SLNK,Technology
2044,SYKE,Business Services
2045,TRAC,Technology
2046,VION,Healthcare
2047,AKSY,Healthcare
2048,ANS,Industrials
2049,ARTN_A,Utilities
2050,ATRI,Healthcare
2051,BETM,
2052,DIGE,Healthcare
2053,ENPT,Technology
2054,EXAC,Healthcare
2055,FCN,Business Services
2056,JAKK,Consumer Cyclicals
2057,MGAM,Consumer Services
2058,MLNM,Healthcare
2059,NBIX,Healthcare
2060,NDN,Consumer Non-Cyclicals
2061,ONXX,Healthcare
2062,PSS,Consumer Cyclicals
2063,RPT,Finance
2064,SKS,Consumer Non-Cyclicals
2065,SRZ,Healthcare
2066,MFIN,Finance
2067,TUP,Consumer Non-Cyclicals
2068,ULGX,Healthcare
2069,ZOMX,Industrials
2070,ADRX,Healthcare
2071,AFFX,Healthcare
2072,ANSS,Technology
2073,ARDM,Healthcare
2074,ASTSF,Technology
2075,BCGI,Telecommunications
2076,CGPI,Healthcare
2077,CHKP,Technology
2078,ASB,
2079,CGFW,Technology
2080,EDS,Technology
2081,CASI,Healthcare
2082,EPMD,Healthcare
2083,FDS,Technology
2084,FXEN,Energy
2085,GWR,Industrials
2086,ICTG,Technology
2087,KEYS,Consumer Cyclicals
2088,THMO,Healthcare
2089,KTO,Consumer Cyclicals
2090,TBI,Business Services
2091,QGEN,Healthcare
2092,SEBL,Technology
2093,TMG,Energy
2094,SMXC,Industrials
2095,THOR,Healthcare
2096,TIE,Non-Energy Materials
2097,HIV,Healthcare
2098,CASS,Finance
2099,CHNL,Technology
2100,CNET,Technology
2101,GERN,Healthcare
2102,AIM,Healthcare
2103,GLA,Technology
2104,PEGA,Technology
2105,PMID,Consumer Non-Cyclicals
2106,REMX,Business Services
2107,HDTV,Technology
2108,STRA,Consumer Non-Cyclicals
2109,STRC,Healthcare
2110,USNA,Healthcare
2111,VMSI,Healthcare
2112,VSNT,Technology
2113,ACEC,Telecommunications
2114,AWRE,Technology
2115,CAMH,Healthcare
2116,CCCG,Consumer Cyclicals
2117,CSV,Consumer Non-Cyclicals
2118,CYBI,Consumer Cyclicals
2119,DRRA,Consumer Cyclicals
2120,DDMX,Industrials
2121,IDSA,Business Services
2122,LAMR,Business Services
2123,LVB,Consumer Cyclicals
